,Unnamed: 0,comment
0,0,Tempo luar biasa
1,1,Media kritis tajam❤
2,2,"Jangan pilih calon yg didukung oleh jokowi, karena untuk kepentingan 2029, demi kepentingan dinastinya"
3,3,Mulyono ahlinya bikin kerusakan
4,4,"Ahok kalau bisa jgn agung2kan 
Seperti nya bisa dipuncak nantinya daya rusaknya ga beda jauh dari mulyono"
5,5,Hadir anak Abah. 👍👍👍🥰🥰🥰🙏
6,6,Jokowi. Sekarang Jual Jasa Endors
7,7,Tempo dari Zaman Orba sudah TOP !!
8,8,Bpk prabowo jika ingin dicintai rakyat berlakulah adil dlm bidang apapun jgn sampai terjebak oleh hasutan apapun rakyat itu poko utama dujungan dlm berbagai hal
9,9,Saya heran dengan tempo benar2 hebat. Berapa banyak sih orang dalamnya dipemerintahan😂😂😂
10,10,mas Anies jangan mau jadi petugas partai merah
11,11,Presiden harusnya netral tdk menunjukkan dukungan krn berada di semua golongan
12,12,"Bocor Alus pasti mendukung 03 seperti saya,,, anak'e Abah...
Semoga tidak ada rekayasa 
2 putaran di Jakarta...
Karena nurutin orang2 ngeyel.."
13,13,"Kosong Tiga Menang,Karena ARB Mendukungnya,
Lalu Pen ❤ ARB Otomatis Tanpa Komando,Pasti Pilih Yg D'dukung ARB,Jelas Mulyono Itu Mmg Tdk Ada Apa²nya,Jika D'banding Dgn ARB – Lanjut...!."
14,14,Pilkada di indonesia gelap banget... begitu banyak tipu daya
15,15,mntan presiden yg gk mau jd mantan
16,16,"Secara ngga langsung mereka bicara politik = bisnis ... Makanya pada korup tuh 😂

Ketemu orang = logistik 🤧"
17,17,"Anda boleh menjegal Anis, tapi sebenarnya anda telah ditendang tayang"
18,18,Kunfayakun
19,19,Kita ikut abah anies dooong
20,20,"kalo semua bisa di mainkan,apa gunanya di adakan Pilkada,toh suara rakyat GK di pake untuk menentukan pemenang pemilu,"
21,21,Golkar sudah siapkah.untuk di PSI kan untuk 2229 atau Pra nya (?).
22,22,"Mereka yang pandai dan paham suatu tokoh akan menaikkan dan akan mengurangi elaktibitas siapa, menurutq 03 pandai melihat itu dan lawannya gk mampu melihat itu😊 semoga RK melihat itu sebagai pembelajaran yg berharga"
23,23,🎉🎉🎉🎉😮😅
24,24,Linghas /jinak2  merpati
25,25,Sing siap dukung bukan Demak dan Boyolali tetapi personil2 dari daerah2 TERSEBUT.  KAMPANYE AKAN SUKSES TERHADAP YG LEMAH SUSAH KALAH AND HAVE NOTHNG .
26,26,"Dukungan diam itu positip dukungan menyolok nyolok itu itu bisa murni dan bisa pura.  Jika hanya benci Pak Jokowy lantas yg didukung Jokowy itu memang calon  hebat , sedang dukungan YG Beliau yg terlambat itu bisa tidak diperhitungkan. Maka sikap ""YG DUDUKUNG JOKOWI JANGAN DIPILIH"" *ITU SIKAP  SEMPIT FANATIK SEFIHAK.  DUNIA MEMANG BEGINI. PERLU CERMAT JANGAN JADI PAK TURUT. LIKE ITIK LIKE STONE AND LIKE MOON AND SUN. WE ARE THE BEST CREATURE  , WE DON'T LIKE THEM."
27,27,Tempo kan tempo2 dukung A dan tempo2 dukung B serta tempo2 passif. SITUASILAH. ILMU2 DAN WAWASAN BISA UNTUK TABUNGAN YG DIUNDUH BESUK JIKA DIBUTUHKA N SEBELUM DIPANGGIL IZRAIL. KAPAN ITU ? SIAPLAH SELALU  DENGAN BASMALAH.SEMOGA AMAN DISINI DISITU DAN DISANA NANTI. ( faba)
28,28,Tetep anis baswedan di 2029 nanti. InsyaAllah
29,29,sudah lengser masih cawe cawe gak punya malu
30,30,Tempo ga jelas
31,31,Podcast tempo  halu tingkat dewa...kalian harus pintar bolo....ini konten nyinyir dan halu saatnya banteng tumbang bolo...
32,32,Semoga p prabowo presiden indonesia milik rakyat bukan milik golongan
33,33,"POLITIK BALAS BUDI dan BALAS DENDAM selalu mendampingi, menyertai dan mengiringi dalam setiap aktivitas dan moment politik yang tak bisa dilarang dalam bentuk peraturan dan perundangan karena ini adalah sesuatu yg tidak berwujud materi.  Untuk menghindarinya tergantung pada figur pemimpin cerdas dan tegas serta  berintegritas dan cerdas spiritualnya"
34,34,"Betul ASN saja aturannya tdk boleh dukung mendukung, apalagi seorang Kepala Negara dan wakilnya lebih haram hukumnya dukung mendukung calon kepala daerah. Kepala negara dan wakilinya harus memang netral krn mereka adalah pemimpin seluruh rakyat bukan lagi sebagai pemimpin kelompok. Semoga pk Prabowo dan wakilnya bisa menyadari ini"
35,35,"Mmg pinter Jokowi menjebak RK,,,atau RK terpaksa harus ikut kemauan Jokowi,"
36,36,Wahay  warga Indonesia dengar tontonn  percakasn ini bula  pikitan kita  msna yg benar mzna i yg busuk
37,37,Rakyat harus sadar kl jokowi cawe2  itu bukan menciptakan lapangan pekerjaan bukan untuk rakyat tp jokowi  cuma memcarikan pekerjaan untuk anak2nya dan. Menantunya kalian hanya di manpaatkan sm jokowi aja. Sadarrrakyat indonesia
38,38,Kasian pks di bohongi oleh jokowi. Kasian deh pks msh aja mau dengerin rayuan pembohong mulyono
39,39,Mulyonobdi uppercut Anies
40,40,"dosa besar apa yg dipegang anies,hingga jokowi mati matian jegal anies???"
41,41,Biar alus tp tetep terliat nyata keren
42,42,SIAPA SAJA YANG IKUTAN mantan PEMIMPIN SYNDROM JABATAN & STRESS maka yang ikutan STRESS nya lebih Parah.
43,43,Wercok = wereng coklat harus dikembalikan menjadi sub ordinat TNI 🎉
44,44,"didalam panggung politik Indonesia saat ini, anies adalah tokoh protagonis nya, Prabowo juga protagonis yang sedang salah kubu, Jokowi sudah jelas antagonis nya, Megawati bisa dibilang tritagonis, lainnya figuran. 😂"
45,45,"wah tempo , pemuja anis"
46,46,"Bang doel anies next presiden , biar makin panas 😂😂😂❤"
