Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,comment,sentiment
0,0,0,tempo luar biasa,netral
1,1,1,media kritis tajam,netral
2,2,2,jangan pilih calon yg didukung oleh jokowi karena untuk kepentingan 2029 demi kepentingan dinastinya,netral
3,3,3,mulyono ahlinya bikin kerusakan,netral
4,4,4,ahok kalau bisa jgn agung2kan seperti nya bisa dipuncak nantinya daya rusaknya ga beda jauh dari mulyono,netral
5,5,5,hadir anak abah ,netral
6,6,6,jokowi sekarang jual jasa endors,netral
7,7,7,tempo dari zaman orba sudah top ,positif
8,8,8,bpk prabowo jika ingin dicintai rakyat berlakulah adil dlm bidang apapun jgn sampai terjebak oleh hasutan apapun rakyat itu poko utama dujungan dlm berbagai hal,netral
9,9,9,saya heran dengan tempo benar2 hebat berapa banyak sih orang dalamnya dipemerintahan,netral
10,10,10,mas anies jangan mau jadi petugas partai merah,netral
11,11,11,presiden harusnya netral tdk menunjukkan dukungan krn berada di semua golongan,netral
12,12,12,bocor alus pasti mendukung 03 seperti saya anake abahsemoga tidak ada rekayasa 2 putaran di jakartakarena nurutin orang2 ngeyel,netral
13,13,13,kosong tiga menangkarena arb mendukungnyalalu pen  arb otomatis tanpa komandopasti pilih yg ddukung arbjelas mulyono itu mmg tdk ada apanyajika dbanding dgn arb  lanjut,netral
14,14,14,pilkada di indonesia gelap banget begitu banyak tipu daya,netral
15,15,15,mntan presiden yg gk mau jd mantan,netral
16,16,16,secara ngga langsung mereka bicara politik  bisnis  makanya pada korup tuh ketemu orang  logistik ,netral
17,17,17,anda boleh menjegal anis tapi sebenarnya anda telah ditendang tayang,netral
18,18,18,kunfayakun,netral
19,19,19,kita ikut abah anies dooong,netral
20,20,20,kalo semua bisa di mainkanapa gunanya di adakan pilkadatoh suara rakyat gk di pake untuk menentukan pemenang pemilu,netral
21,21,21,golkar sudah siapkahuntuk di psi kan untuk 2229 atau pra nya ,netral
22,22,22,mereka yang pandai dan paham suatu tokoh akan menaikkan dan akan mengurangi elaktibitas siapa menurutq 03 pandai melihat itu dan lawannya gk mampu melihat itu semoga rk melihat itu sebagai pembelajaran yg berharga,netral
23,23,23,,netral
24,24,24,linghas jinak2  merpati,netral
25,25,25,sing siap dukung bukan demak dan boyolali tetapi personil2 dari daerah2 tersebut  kampanye akan sukses terhadap yg lemah susah kalah and have nothng ,netral
26,26,26,dukungan diam itu positip dukungan menyolok nyolok itu itu bisa murni dan bisa pura  jika hanya benci pak jokowy lantas yg didukung jokowy itu memang calon  hebat  sedang dukungan yg beliau yg terlambat itu bisa tidak diperhitungkan maka sikap yg dudukung jokowi jangan dipilih itu sikap  sempit fanatik sefihak  dunia memang begini perlu cermat jangan jadi pak turut like itik like stone and like moon and sun we are the best creature   we dont like them,positif
27,27,27,tempo kan tempo2 dukung a dan tempo2 dukung b serta tempo2 passif situasilah ilmu2 dan wawasan bisa untuk tabungan yg diunduh besuk jika dibutuhka n sebelum dipanggil izrail kapan itu  siaplah selalu  dengan basmalahsemoga aman disini disitu dan disana nanti  faba,netral
28,28,28,tetep anis baswedan di 2029 nanti insyaallah,netral
29,29,29,sudah lengser masih cawe cawe gak punya malu,netral
30,30,30,tempo ga jelas,netral
31,31,31,podcast tempo  halu tingkat dewakalian harus pintar boloini konten nyinyir dan halu saatnya banteng tumbang bolo,netral
32,32,32,semoga p prabowo presiden indonesia milik rakyat bukan milik golongan,netral
